!	восклицательный знак
(	левая скобка: [(
)	правая скобка: ])
QO	левая кавычка
QC	правая кавычка
--	тире
,	запятая
.	точка
...	эллипсис
:	двоеточие
;	точка с запятой
?	вопросительный знак
???	неизвестное слово
FO	формула
FW	иностранное слово
AB	сокращение
ABM	аббревиатура (с главным словом м. р.)
ABF	аббревиатура (с главным словом ж. р.)
ABN	аббревиатура (с главным словом ср. р.)
ABP	аббревиатура (с главным словом мн. ч.)
CC	сочинительный союз
CS	подчинительный союз
DCO	количественное числительное, им. п.
DCG	количественное числительное, род. п.
DCD	количественное числительное, дат. п.
DCA	количественное числительное, вин. п.
DCI	количественное числительное, твор. п.
DCR	количественное числительное, предл. п.
DC-DC	количественное числительное (дефисное написание)
DC1MO	количественное числительное один, м. р., им. п.
DC1MG	количественное числительное один, м. р., род. п.
DC1MD	количественное числительное один, м. р., дат. п.
DC1MA	количественное числительное один, м. р., вин. п., неодуш.
DC1MU	количественное числительное один, м. р., вин. п., одуш.
DC1MI	количественное числительное один, м. р., твор. п.
DC1MR	количественное числительное один, м. р., предл. п.
DC1FO	количественное числительное одна, ж. р., им. п.
DC1FG	количественное числительное одна, ж. р., род. п.
DC1FD	количественное числительное одна, ж. р., дат. п.
DC1FA	количественное числительное одна, ж. р., вин. п.
DC1FI	количественное числительное одна, ж. р., твор. п.
DC1FS	количественное числительное одна, ж. р., твор. п. (~ю)
DC1FR	количественное числительное одна, ж. р., предл. п.
DC1NO	количественное числительное одно, ср. р., им. п.
DC1NG	количественное числительное одно, ср. р., род. п.
DC1ND	количественное числительное одно, ср. р., дат. п.
DC1NA	количественное числительное одно, ср. р., вин. п.
DC1NI	количественное числительное одно, ср. р., твор. п.
DC1NR	количественное числительное одно, ср. р., предл. п.
DC1PO	количественное числительное одни, мн. ч., им. п.
DC1PG	количественное числительное одни, мн. ч., род. п.
DC1PD	количественное числительное одни, мн. ч., дат. п.
DC1PA	количественное числительное одни, мн. ч., вин. п., неодуш.
DC1PU	количественное числительное одни, мн. ч., вин. п., одуш.
DC1PI	количественное числительное одни, мн. ч., твор. п.
DC1PR	количественное числительное одни, мн. ч., предл. п.
DC2PO	количественное числительное два, им. п.
DC2PG	количественное числительное два, род. п.
DC2PD	количественное числительное два, дат. п.
DC2PA	количественное числительное два, неодуш.
DC2PU	количественное числительное два, одуш.
DC2PI	количественное числительное два, твор. п.
DC2PR	количественное числительное два, предл. п.
DC2FO	количественное числительное две, ж. р., им. п.
DC2FG	количественное числительное две, ж. р., род. п.
DC2FD	количественное числительное две, ж. р., дат. п.
DC2FA	количественное числительное две, ж. р., вин. п., неодуш.
DC2FU	количественное числительное две, ж. р., вин. п., мн. ч., одуш.
DC2FI	количественное числительное две, ж. р., твор. п.
DC2FR	количественное числительное две, ж. р., предл. п.
DLO	собирательное числительное, им. п.						
DLG	собирательное числительное, род. п.
DLD	собирательное числительное, дат. п.
DLA	собирательное числительное, вин. п., неодуш.
DLU	собирательное числительное, вин. п., одуш.
DLI	собирательное числительное, твор. п.
DLR	собирательное числительное, предл. п.
DL2PO	собирательное числительное оба, мн. ч., им. п.
DL2PG	собирательное числительное оба, мн. ч., род. п.
DL2PD	собирательное числительное оба, мн. ч., дат. п.
DL2PA	собирательное числительное оба, мн. ч., вин. п., неодуш.
DL2PU	собирательное числительное оба, мн. ч., вин. п., одуш.
DL2PI	собирательное числительное оба, мн. ч., твор. п.
DL2PR	собирательное числительное оба, мн. ч., предл. п.
DL2FO	собирательное числительное обе, ж. р., им. п.
DL2FG	собирательное числительное обе, ж. р., род. п.
DL2FD	собирательное числительное обе, ж. р., дат. п.
DL2FA	собирательное числительное обе, ж. р., вин. п., неодуш.
DL2FU	собирательное числительное обе, ж. р., вин. п., одуш.
DL2FI	собирательное числительное обе, ж. р., твор. п.
DL2FR	собирательное числительное обе, ж. р., предл. п.
DOMO	порядковое числительное, м. р., им. п.
DOMG	порядковое числительное, м. р., род. п.
DOMD	порядковое числительное, м. р., дат. п.
DOMA	порядковое числительное, м. р., вин. п., неодуш.
DOMU	порядковое числительное, м. р., вин. п., одуш.
DOMI	порядковое числительное, м. р., твор. п.
DOMR	порядковое числительное, м. р., предл. п.
DOFO	порядковое числительное, ж. р., им. п.
DOFG	порядковое числительное, ж. р., род. п.
DOFD	порядковое числительное, ж. р., дат. п.
DOFA	порядковое числительное, ж. р., вин. п.
DOFI	порядковое числительное, ж. р., твор. п.
DOFS	порядковое числительное, ж. р., твор. п. (~ю)
DOFR	порядковое числительное, ж. р., предл. п.
DONO	порядковое числительное, ср. р., им. п.
DONG	порядковое числительное, ср. р., род. п.
DOND	порядковое числительное, ср. р., дат. п.
DONA	порядковое числительное, ср. р., вин. п.
